USN,KEYNAME,KEYVALUE
G9R2R7P9RM,back_nvm_barcode1,*
back_nvm_barcode1*,back_nvm_barcode,DNL2081044B17RR8F
G9R2R7P9RM,mlbsn,C072156002D1J184
G9R2R7P9RM,config_code,0016LT
G9R2R7P9RM,regulatory_num,A2649
G9R2R7P9RM,flex_8,*
flex_8*,coil_sn,
G9R2R7P9RM,mpn,993-84885
G9R2R7P9RM,region_code,LL/A
G9R2R7P9RM,battery_sn,F8Y212400J81Q1P3S
G9R2R7P9RM,lcm_sn,GVC20650KL515031W+E1YGA
G9R2R7P9RM,pearl_sn,*
pearl_sn*,juliet_sn,HNQ211201N915F7E9
pearl_sn*,front_nvm_barcode,DN82122FSJQ1CYG3M
G9R2R7P9RM,nandid::0x0000E47603983E98,Toshiba
G9R2R7P9RM,wifivendor::g,STATS;MoPED=0x8DC9D17566C0011138EDC312CC323C3DFCE42EF4
C072156002D1J184,nandid::0x0000E47603983E98,Toshiba
C072156002D1J184,fgsn,G9R2R7P9RM
G9R2R7P9RM,alert_sn,GH92097205M1FVD3M
G9R2R7P9RM,clrc,A
G9R2R7P9RM,receiver_1,AAC
GVC20650KL515031W,fgsn,*

USN,KEYNAME,KEYVALUE
VJWCWYC2VN,back_nvm_barcode1,*
back_nvm_barcode1*,back_nvm_barcode,GCF20534ST117RQU4
VJWCWYC2VN,mlbsn,C07215200L41J184
VJWCWYC2VN,config_code,0016LT
VJWCWYC2VN,regulatory_num,A2649
VJWCWYC2VN,flex_8,*
flex_8*,coil_sn,
VJWCWYC2VN,mpn,993-84884
VJWCWYC2VN,region_code,LL/A
VJWCWYC2VN,battery_sn,FG9209700B11Q1T1Y
VJWCWYC2VN,lcm_sn,GVH20871NNE15015L+E1OS1
VJWCWYC2VN,pearl_sn,*
pearl_sn*,juliet_sn,HNQ211301EV15F7EC
pearl_sn*,front_nvm_barcode,F0W211300T21CYF6M
VJWCWYC2VN,nandid::0x0000E47603983E45,Sandisk
VJWCWYC2VN,wifivendor::u,USI;MoPED=0x136D1E621C166CFA5BD56F360A8342A8C5A2FF49
C07215200L41J184,nandid::0x0000E47603983E45,Sandisk
C07215200L41J184,fgsn,VJWCWYC2VN
VJWCWYC2VN,alert_sn,Error**
VJWCWYC2VN,clrc,A
